Date,Visits,Department
2020-04-01,106.52358539877216,Cardiology
2020-05-01,103.39071442898825,Cardiology
2020-06-01,115.89302309925178,Cardiology
2020-07-01,120.31374859644933,Cardiology
2020-08-01,109.20849764211583,Cardiology
2020-09-01,115.65366986867156,Cardiology
2020-10-01,125.82222977491813,Cardiology
2020-11-01,126.41190833999428,Cardiology
2020-12-01,130.4902145960986,Cardiology
2021-01-01,128.64630867217215,Cardiology
2021-02-01,139.39344598554865,Cardiology
2021-03-01,140.71580092306996,Cardiology
2021-04-01,138.7371561545164,Cardiology
2021-05-01,145.38383688015978,Cardiology
2021-06-01,143.20306226928665,Cardiology
2021-07-01,137.48665604827997,Cardiology
2021-08-01,144.37175457402444,Cardiology
2021-09-01,138.3377088535388,Cardiology
2021-10-01,148.02327714881156,Cardiology
2021-11-01,143.81330530154239,Cardiology
2021-12-01,143.5434664338519,Cardiology
2022-01-01,141.48152604168405,Cardiology
2022-02-01,151.47110094084192,Cardiology
2022-03-01,145.1506945862676,Cardiology
2022-04-01,144.47591905273626,Cardiology
2022-05-01,145.71362454899747,Cardiology
2022-06-01,151.18420164887004,Cardiology
2022-07-01,151.61410054311625,Cardiology
2022-08-01,153.34936412533284,Cardiology
2022-09-01,155.18598494473193,Cardiology
2022-10-01,165.7401179340448,Cardiology
2022-11-01,155.25362598542984,Cardiology
2022-12-01,157.22566657593816,Cardiology
2023-01-01,158.4537920798639,Cardiology
2023-02-01,168.55418941431608,Cardiology
2023-03-01,174.26241962715625,Cardiology
2023-04-01,171.3536047083372,Cardiology
2023-05-01,171.15761186265914,Cardiology
2023-06-01,174.76376768524753,Cardiology
2023-07-01,185.7207421907017,Cardiology
2023-08-01,189.77920571249086,Cardiology
2023-09-01,192.34679698380117,Cardiology
2023-10-01,189.80457332124033,Cardiology
2023-11-01,197.6888072689455,Cardiology
2023-12-01,200.36654740839978,Cardiology
2024-01-01,203.9589585416715,Cardiology
2024-02-01,210.10477473506054,Cardiology
2024-03-01,209.52498041058374,Cardiology
2024-04-01,214.22140906128467,Cardiology
2024-05-01,213.33435145867898,Cardiology
2024-06-01,216.35712530349,Cardiology
2024-07-01,219.73066151281276,Cardiology
2024-08-01,210.70734220243386,Cardiology
2024-09-01,217.5846716772952,Cardiology
2024-10-01,217.81270413151918,Cardiology
2024-11-01,217.76928434416834,Cardiology
2024-12-01,220.23521375835983,Cardiology
2025-01-01,229.61547367639147,Cardiology
2025-02-01,218.2614793817245,Cardiology
2025-03-01,227.8413917729574,Cardiology
2020-04-01,91.58565114192098,Oncology
2020-05-01,101.91620981026185,Oncology
2020-06-01,107.95453244574452,Oncology
